"","proteinId","...1.x","ecNum","definition","pathway","gotermID","gotermType","goAcc","kogID","kogdefine","kogClass","iprId","iprDesc","...1.y","Feature","Record.Id","Function","Aliases","X1","X2","X3","X2.1","X3.1"
"14",2346,7,"1.14.13.22","Cyclohexanone monooxygenase.","Caprolactam degradation",NA,NA,NA,"KOG1399","Flavin-containing monooxygenase","Secondary metabolites biosynthesis, transport and catabolism","\N, \N","\N, \N",559,"RYLPO03415","jgi.p|YarlipO1F2|2346","Cyclohexanone monooxygenase (EC 1.14.13.22)","., jgi.p|YarlipO1F2|2346, mRNA_110, prediction","., jgi.p","YarlipO1F2","2346, mRNA_110, prediction","mRNA_110","prediction"
"15",2550,8,"3.5.4.25","GTP cyclohydrolase II.","Riboflavin metabolism",NA,NA,NA,"KOG1284","Bifunctional GTP cyclohydrolase II/3,4-dihydroxy-2butanone-4-phosphate synthase","Coenzyme transport and metabolism","IPR000926, \N, IPR000926","GTP cyclohydrolase II, RibA, \N, GTP cyclohydrolase II, RibA",601,"RYLPO03667","jgi.p|YarlipO1F2|2550","GTP cyclohydrolase II (EC 3.5.4.25)","., jgi.p|YarlipO1F2|2550, mRNA_118, prediction","., jgi.p","YarlipO1F2","2550, mRNA_118, prediction","mRNA_118","prediction"
"16",2820,9,"2.7.7.50","mRNA guanylyltransferase.","\N",NA,NA,NA,"KOG2386","mRNA capping enzyme, guanylyltransferase (alpha) subunit","RNA processing and modification","IPR001339, IPR013846, IPR017075, IPR012340, \N","mRNA capping enzyme, mRNA capping enzyme, C-terminal, mRNA capping enzyme, alpha subunit, Nucleic acid-binding, OB-fold, \N",720,"RYLPO04409","jgi.p|YarlipO1F2|2820","mRNA capping enzyme alpha subunit (mRNA guanylyltransferase) (EC 2.7.7.50)","., jgi.p|YarlipO1F2|2820, mRNA_146, prediction","., jgi.p","YarlipO1F2","2820, mRNA_146, prediction","mRNA_146","prediction"
"17",2845,10,"5.3.4.1","Protein disulfide isomerase.","\N",NA,NA,NA,"KOG0190","Protein disulfide isomerase (prolyl 4-hydroxylase beta subunit)","Posttranslational modification, protein turnover, chaperones","IPR013766, \N, IPR017937, IPR012336, IPR012336, IPR005788","Thioredoxin domain, \N, Thioredoxin, conserved site, Thioredoxin-like fold, Thioredoxin-like fold, Disulphide isomerase",726,"RYLPO04445","jgi.p|YarlipO1F2|2845",NA,"., jgi.p|YarlipO1F2|2845, mRNA_148, prediction","., jgi.p","YarlipO1F2","2845, mRNA_148, prediction","mRNA_148","prediction"
"18",3055,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPR024761, IPR017986","Transcription factor IIIC, 90kDa subunit, N-terminal, WD40-repeat-containing domain",858,"RYLPO05230","jgi.p|YarlipO1F2|3055",NA,"., jgi.p|YarlipO1F2|3055, mRNA_171, prediction","., jgi.p","YarlipO1F2","3055, mRNA_171, prediction","mRNA_171","prediction"
"19",3082,12,"2.5.1.18","Glutathione transferase.","Glutathione metabolism",NA,NA,NA,NA,NA,NA,"IPR001129, \N","Membrane-associated, eicosanoid/glutathione metabolism (MAPEG) protein, \N",878,"RYLPO05347","jgi.p|YarlipO1F2|3082","Glutathione S-transferase (EC 2.5.1.18)","., jgi.p|YarlipO1F2|3082, mRNA_174, prediction","., jgi.p","YarlipO1F2","3082, mRNA_174, prediction","mRNA_174","prediction"
"20",3127,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPR026057, IPR013830","PC-Esterase, SGNH hydrolase-type esterase domain",901,"RYLPO05487","jgi.p|YarlipO1F2|3127",NA,"., jgi.p|YarlipO1F2|3127, mRNA_179, prediction","., jgi.p","YarlipO1F2","3127, mRNA_179, prediction","mRNA_179","prediction"
"21",3232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,924,"RYLPO05624","jgi.p|YarlipO1F2|3232",NA,"., jgi.p|YarlipO1F2|3232, mRNA_182, prediction","., jgi.p","YarlipO1F2","3232, mRNA_182, prediction","mRNA_182","prediction"
"22",3384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,952,"RYLPO05791","jgi.p|YarlipO1F2|3384",NA,"., jgi.p|YarlipO1F2|3384, mRNA_191, prediction","., jgi.p","YarlipO1F2","3384, mRNA_191, prediction","mRNA_191","prediction"
"23",3385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955,"RYLPO05808","jgi.p|YarlipO1F2|3385",NA,"., jgi.p|YarlipO1F2|3385, mRNA_192, prediction","., jgi.p","YarlipO1F2","3385, mRNA_192, prediction","mRNA_192","prediction"
"24",3413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,974,"RYLPO05927","jgi.p|YarlipO1F2|3413",NA,"., jgi.p|YarlipO1F2|3413, mRNA_196, prediction","., jgi.p","YarlipO1F2","3413, mRNA_196, prediction","mRNA_196","prediction"
"25",3416,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPR001810, IPR001810, IPR001810, IPR001810","F-box domain, F-box domain, F-box domain, F-box domain",973,"RYLPO05921","jgi.p|YarlipO1F2|3416",NA,"., jgi.p|YarlipO1F2|3416, mRNA_195, prediction","., jgi.p","YarlipO1F2","3416, mRNA_195, prediction","mRNA_195","prediction"
"26",3548,15,"3.6.3.1","Magnesium-ATPase.","\N",NA,NA,NA,"KOG0206","P-type ATPase","General function prediction only","IPR008250, IPR023214, IPR018303, IPR023214, \N, IPR023299, \N, IPR001757, IPR006539","P-type ATPase, A  domain, HAD-like domain, P-type ATPase, phosphorylation site, HAD-like domain, \N, P-type ATPase, cytoplasmic domain N, \N, P-type ATPase, P-type ATPase, subfamily IV",1016,"RYLPO06175","jgi.p|YarlipO1F2|3548","Phospholipid-transporting ATPase (EC 3.6.3.1)","., jgi.p|YarlipO1F2|3548, mRNA_201, prediction","., jgi.p","YarlipO1F2","3548, mRNA_201, prediction","mRNA_201","prediction"
"27",3585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1046,"RYLPO06352","jgi.p|YarlipO1F2|3585",NA,"., jgi.p|YarlipO1F2|3585, mRNA_206, prediction","., jgi.p","YarlipO1F2","3585, mRNA_206, prediction","mRNA_206","prediction"
"28",3614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1067,"RYLPO06480","jgi.p|YarlipO1F2|3614",NA,"., jgi.p|YarlipO1F2|3614, mRNA_208, prediction","., jgi.p","YarlipO1F2","3614, mRNA_208, prediction","mRNA_208","prediction"
"29",3652,16,"1.13.11.-","With incorporation of two atoms of oxygen.","\N",NA,NA,NA,NA,NA,NA,"IPR004183, IPR004183","Extradiol ring-cleavage dioxygenase, class III enzyme, subunit B, Extradiol ring-cleavage dioxygenase, class III enzyme, subunit B",1106,"RYLPO06717","jgi.p|YarlipO1F2|3652","Aromatic ring-opening dioxygenase LigB subunit (EC 1.13.11.-)","., jgi.p|YarlipO1F2|3652, mRNA_215, prediction","., jgi.p","YarlipO1F2","3652, mRNA_215, prediction","mRNA_215","prediction"
"30",3779,17,NA,NA,NA,NA,NA,NA,"KOG0285","Pleiotropic regulator 1","RNA processing and modification","IPR001680, IPR019775, IPR001680, IPR017986, IPR001680, IPR017986","WD40 repeat, WD40 repeat, conserved site, WD40 repeat, WD40-repeat-containing domain, WD40 repeat, WD40-repeat-containing domain",1149,"RYLPO06984","jgi.p|YarlipO1F2|3779","WD-repeat family protein","., jgi.p|YarlipO1F2|3779, mRNA_225, prediction","., jgi.p","YarlipO1F2","3779, mRNA_225, prediction","mRNA_225","prediction"
"31",3825,18,NA,NA,NA,NA,NA,NA,"KOG2919","Guanine nucleotide-binding protein","General function prediction only","IPR017986","WD40-repeat-containing domain",1182,"RYLPO07181","jgi.p|YarlipO1F2|3825","Guanine nucleotide-binding protein beta subunit-like protein","., jgi.p|YarlipO1F2|3825, mRNA_233, prediction","., jgi.p","YarlipO1F2","3825, mRNA_233, prediction","mRNA_233","prediction"
"32",4082,19,NA,NA,NA,NA,NA,NA,"KOG3511","Sortilin and related receptors","General function prediction only","IPR006581, \N","VPS10, \N",1247,"RYLPO07579","jgi.p|YarlipO1F2|4082",NA,"., jgi.p|YarlipO1F2|4082, mRNA_248, prediction","., jgi.p","YarlipO1F2","4082, mRNA_248, prediction","mRNA_248","prediction"
"33",4314,20,"2.1.1.67","Thiopurine S-methyltransferase.","\N",NA,NA,NA,NA,NA,NA,"IPR008854, IPR025835, IPR008854, IPR029063, IPR022474","TPMT family, Thiopurine S-methyltransferase, TPMT family, S-adenosyl-L-methionine-dependent methyltransferase, Thiopurine S-methyltransferase, Se/Te detoxification",1305,"RYLPO07929","jgi.p|YarlipO1F2|4314","Thiopurine S-methyltransferase (EC 2.1.1.67)","., jgi.p|YarlipO1F2|4314, mRNA_258, prediction","., jgi.p","YarlipO1F2","4314, mRNA_258, prediction","mRNA_258","prediction"
"34",4316,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPR020915","Uncharacterised protein family UPF0311",1311,"RYLPO07964","jgi.p|YarlipO1F2|4316",NA,"., jgi.p|YarlipO1F2|4316, mRNA_260, prediction","., jgi.p","YarlipO1F2","4316, mRNA_260, prediction","mRNA_260","prediction"
"35",4439,22,NA,NA,NA,NA,NA,NA,"KOG1843","Uncharacterized conserved protein","Function unknown","IPR001452, IPR007461, IPR001452, IPR001452, IPR001452","SH3 domain, Ysc84 actin-binding domain, SH3 domain, SH3 domain, SH3 domain",1345,"RYLPO08169","jgi.p|YarlipO1F2|4439",NA,"., jgi.p|YarlipO1F2|4439, mRNA_267, prediction","., jgi.p","YarlipO1F2","4439, mRNA_267, prediction","mRNA_267","prediction"
"36",4567,23,NA,NA,NA,NA,NA,NA,"KOG0224","Aquaporin (major intrinsic protein family)","Carbohydrate transport and metabolism","IPR000425, IPR022357, IPR023271, IPR000425","Major intrinsic protein, Major intrinsic protein, conserved site, Aquaporin-like, Major intrinsic protein",1361,"RYLPO08267","jgi.p|YarlipO1F2|4567","Glycerol uptake facilitator protein / Aquaporin","., jgi.p|YarlipO1F2|4567, mRNA_270, prediction","., jgi.p","YarlipO1F2","4567, mRNA_270, prediction","mRNA_270","prediction"
"37",4577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1366,"RYLPO08294","jgi.p|YarlipO1F2|4577",NA,"., jgi.p|YarlipO1F2|4577, mRNA_271, prediction","., jgi.p","YarlipO1F2","4577, mRNA_271, prediction","mRNA_271","prediction"
"38",4663,24,NA,NA,NA,NA,NA,NA,"KOG0711","Polyprenyl synthetase","Coenzyme transport and metabolism","IPR000092, IPR000092, IPR000092, IPR008949","Polyprenyl synthetase, Polyprenyl synthetase, Polyprenyl synthetase, Isoprenoid synthase domain",1379,"RYLPO08374","jgi.p|YarlipO1F2|4663","GERANYLTRANSTRANSFERASE (EC 2.5.1.10) / FARNESYL PYROPHOSPHATE SYNTHETASE (EC 2.5.1.1)","., jgi.p|YarlipO1F2|4663, mRNA_274, prediction","., jgi.p","YarlipO1F2","4663, mRNA_274, prediction","mRNA_274","prediction"
"39",4680,25,NA,NA,NA,NA,NA,NA,"KOG1208","Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)","Secondary metabolites biosynthesis, transport and catabolism","IPR002198, \N","Short-chain dehydrogenase/reductase SDR, \N",1378,"RYLPO08368","jgi.p|YarlipO1F2|4680","Short chain dehydrogenase (EC 1.-.-.-)","., jgi.p|YarlipO1F2|4680, mRNA_273, prediction","., jgi.p","YarlipO1F2","4680, mRNA_273, prediction","mRNA_273","prediction"
"40",6360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1510,"RYLPO09142","jgi.p|YarlipO1F2|6360",NA,"., jgi.p|YarlipO1F2|6360, mRNA_291, prediction","., jgi.p","YarlipO1F2","6360, mRNA_291, prediction","mRNA_291","prediction"
"41",6399,26,NA,NA,NA,NA,NA,NA,"KOG3838","Mannose lectin ERGIC-53, involved in glycoprotein traffic","Intracellular trafficking, secretion, and vesicular transport","IPR005052, IPR005052, IPR013320, \N","Legume-like lectin, Legume-like lectin, Concanavalin A-like lectin/glucanase domain, \N",1535,"RYLPO09285","jgi.p|YarlipO1F2|6399",NA,"., jgi.p|YarlipO1F2|6399, mRNA_297, prediction","., jgi.p","YarlipO1F2","6399, mRNA_297, prediction","mRNA_297","prediction"
"42",6450,27,"4.1.1.36","Phosphopantothenoylcysteine decarboxylase.","Pantothenate and CoA biosynthesis",NA,NA,NA,"KOG0672","Halotolerance protein HAL3 (contains flavoprotein domain)","Cell cycle control, cell division, chromosome partitioning , Inorganic ion transport and metabolism","IPR003382, IPR003382","Flavoprotein, Flavoprotein",1548,"RYLPO09361","jgi.p|YarlipO1F2|6450",NA,"., jgi.p|YarlipO1F2|6450, mRNA_300, prediction","., jgi.p","YarlipO1F2","6450, mRNA_300, prediction","mRNA_300","prediction"
"43",6733,28,NA,NA,NA,NA,NA,NA,"KOG0598","Ribosomal protein S6 kinase and related proteins","General function prediction only , Signal transduction mechanisms","IPR000719, IPR017892, IPR017441, IPR008271, IPR000719, IPR000961, IPR000961, IPR002290, IPR011009","Protein kinase domain, Protein kinase, C-terminal, Protein kinase, ATP binding site, Serine/threonine-protein kinase, active site, Protein kinase domain, AGC-kinase, C-terminal, AGC-kinase, C-terminal, Serine/threonine/dual specificity protein kinase, catalytic  domain, Protein kinase-like domain",1582,"RYLPO09563","jgi.p|YarlipO1F2|6733",NA,"., jgi.p|YarlipO1F2|6733, mRNA_304, prediction","., jgi.p","YarlipO1F2","6733, mRNA_304, prediction","mRNA_304","prediction"
"44",7069,29,NA,NA,NA,NA,NA,NA,"KOG0714","Molecular chaperone (DnaJ superfamily)","Posttranslational modification, protein turnover, chaperones","IPR001623, IPR007872, IPR001623, IPR007872, IPR001623, \N, IPR001623","DnaJ domain, Zinc finger, DPH-type, DnaJ domain, Zinc finger, DPH-type, DnaJ domain, \N, DnaJ domain",1599,"RYLPO09664","jgi.p|YarlipO1F2|7069","Hypothetical protein","., jgi.p|YarlipO1F2|7069, mRNA_306, prediction","., jgi.p","YarlipO1F2","7069, mRNA_306, prediction","mRNA_306","prediction"
"45",7105,30,NA,NA,NA,NA,NA,NA,"KOG2198","tRNA cytosine-5-methylases and related enzymes of the NOL1/NOP2/sun superfamily","Translation, ribosomal structure and biogenesis","IPR001678, IPR018314, IPR001678, IPR029063","SAM-dependent methyltransferase RsmB/NOP2-type, Bacterial Fmu (Sun)/eukaryotic nucleolar NOL1/Nop2p, conserved site, SAM-dependent methyltransferase RsmB/NOP2-type, S-adenosyl-L-methionine-dependent methyltransferase",1650,"RYLPO09983","jgi.p|YarlipO1F2|7105","Multisite-specific tRNA m(5)C methyltransferase (EC 2.1.1.29)","., jgi.p|YarlipO1F2|7105, mRNA_316, prediction","., jgi.p","YarlipO1F2","7105, mRNA_316, prediction","mRNA_316","prediction"
"46",7120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1666,"RYLPO10077","jgi.p|YarlipO1F2|7120",NA,"., jgi.p|YarlipO1F2|7120, mRNA_319, prediction","., jgi.p","YarlipO1F2","7120, mRNA_319, prediction","mRNA_319","prediction"
"47",7121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1665,"RYLPO10071","jgi.p|YarlipO1F2|7121",NA,"., jgi.p|YarlipO1F2|7121, mRNA_318, prediction","., jgi.p","YarlipO1F2","7121, mRNA_318, prediction","mRNA_318","prediction"
"48",7177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1677,"RYLPO10143","jgi.p|YarlipO1F2|7177",NA,"., jgi.p|YarlipO1F2|7177, mRNA_321, prediction","., jgi.p","YarlipO1F2","7177, mRNA_321, prediction","mRNA_321","prediction"
"49",7307,31,NA,NA,NA,NA,NA,NA,"KOG3687","Tuberin - Rap/ran-GTPase-activating protein","Cell cycle control, cell division, chromosome partitioning , Signal transduction mechanisms","IPR000331, IPR018515, IPR024584, IPR000331, \N, IPR016024","Rap GTPase activating protein domain, Tuberin-type domain, Tuberin, N-terminal, Rap GTPase activating protein domain, \N, Armadillo-type fold",1710,"RYLPO10347","jgi.p|YarlipO1F2|7307","GTPase-activating protein","., jgi.p|YarlipO1F2|7307, mRNA_328, prediction","., jgi.p","YarlipO1F2","7307, mRNA_328, prediction","mRNA_328","prediction"
"50",7330,32,NA,NA,NA,NA,NA,NA,"KOG3437","Anaphase-promoting complex (APC), subunit 10","Cell cycle control, cell division, chromosome partitioning , Posttranslational modification, protein turnover, chaperones","IPR004939, IPR016901, IPR004939, IPR008979","Anaphase-promoting complex, subunit 10/DOC domain, Anaphase-promoting complex, subunit 10, Anaphase-promoting complex, subunit 10/DOC domain, Galactose-binding domain-like",1718,"RYLPO10393","jgi.p|YarlipO1F2|7330","Anaphase promoting complex subunit (Doc1/Apc10 family)","., jgi.p|YarlipO1F2|7330, mRNA_329, prediction","., jgi.p","YarlipO1F2","7330, mRNA_329, prediction","mRNA_329","prediction"
"51",7347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1731,"RYLPO10466","jgi.p|YarlipO1F2|7347",NA,"., jgi.p|YarlipO1F2|7347, mRNA_331, prediction","., jgi.p","YarlipO1F2","7347, mRNA_331, prediction","mRNA_331","prediction"
"52",7376,33,NA,NA,NA,NA,NA,NA,"KOG1289","Amino acid transporters","Amino acid transport and metabolism","IPR002293, IPR002293, IPR004840","Amino acid/polyamine transporter I, Amino acid/polyamine transporter I, Amino acid permease, conserved site",1746,"RYLPO10553","jgi.p|YarlipO1F2|7376","GABA-specific permease","., jgi.p|YarlipO1F2|7376, mRNA_334, prediction","., jgi.p","YarlipO1F2","7376, mRNA_334, prediction","mRNA_334","prediction"
"53",7498,34,"4.1.-.-","Carbon-carbon lyases.","\N",NA,NA,NA,"KOG1185","Thiamine pyrophosphate-requiring enzyme","Amino acid transport and metabolism , Coenzyme transport and metabolism","IPR012000, IPR011766, IPR012001, IPR000399, IPR029035, IPR029061","Thiamine pyrophosphate enzyme, central domain, Thiamine pyrophosphate enzyme, C-terminal TPP-binding, Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain, TPP-binding enzyme, conserved site, DHS-like NAD/FAD-binding domain, Thiamin diphosphate-binding fold",1769,"RYLPO10694","jgi.p|YarlipO1F2|7498","2-hydroxyphytanoyl-CoA lyase (EC 4.1.-.-)","., jgi.p|YarlipO1F2|7498, mRNA_337, prediction","., jgi.p","YarlipO1F2","7498, mRNA_337, prediction","mRNA_337","prediction"
"54",7505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1772,"RYLPO10717","jgi.p|YarlipO1F2|7505",NA,"., jgi.p|YarlipO1F2|7505, mRNA_338, prediction","., jgi.p","YarlipO1F2","7505, mRNA_338, prediction","mRNA_338","prediction"
"55",7591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1835,"RYLPO11108","jgi.p|YarlipO1F2|7591",NA,"., jgi.p|YarlipO1F2|7591, mRNA_346, prediction","., jgi.p","YarlipO1F2","7591, mRNA_346, prediction","mRNA_346","prediction"
"56",9089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1961,"RYLPO11878","jgi.p|YarlipO1F2|9089",NA,"., jgi.p|YarlipO1F2|9089, mRNA_365, prediction","., jgi.p","YarlipO1F2","9089, mRNA_365, prediction","mRNA_365","prediction"
"57",9149,35,NA,NA,NA,NA,NA,NA,"KOG0039","Ferric reductase, NADH/NADPH oxidase and related proteins","Inorganic ion transport and metabolism , Secondary metabolites biosynthesis, transport and catabolism","IPR013130, IPR013112, IPR013121, IPR017927, \N","Ferric reductase transmembrane component-like domain, FAD-binding 8, Ferric reductase, NAD binding, Ferredoxin reductase-type FAD-binding domain, \N",1990,"RYLPO12051","jgi.p|YarlipO1F2|9149","Ferric-chelate reductase (EC 1.16.1.7)","., jgi.p|YarlipO1F2|9149, mRNA_370, prediction","., jgi.p","YarlipO1F2","9149, mRNA_370, prediction","mRNA_370","prediction"
"58",9237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2043,"RYLPO12363","jgi.p|YarlipO1F2|9237",NA,"., jgi.p|YarlipO1F2|9237, mRNA_377, prediction","., jgi.p","YarlipO1F2","9237, mRNA_377, prediction","mRNA_377","prediction"
"59",9274,36,"3.1.1.3","Triacylglycerol lipase.","Glycerolipid metabolism",NA,NA,NA,"KOG4569","Predicted lipase","Lipid transport and metabolism","IPR002921, IPR029058","Fungal lipase-like domain, Alpha/Beta hydrolase fold",2088,"RYLPO12635","jgi.p|YarlipO1F2|9274","Lipase (EC 3.1.1.3)","., jgi.p|YarlipO1F2|9274, mRNA_386, prediction","., jgi.p","YarlipO1F2","9274, mRNA_386, prediction","mRNA_386","prediction"
"60",9279,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPR029191","Up-regulated during septation protein 1",2094,"RYLPO12672","jgi.p|YarlipO1F2|9279",NA,"., jgi.p|YarlipO1F2|9279, mRNA_387, prediction","., jgi.p","YarlipO1F2","9279, mRNA_387, prediction","mRNA_387","prediction"
"61",9311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2103,"RYLPO12728","jgi.p|YarlipO1F2|9311",NA,"., jgi.p|YarlipO1F2|9311, mRNA_389, prediction","., jgi.p","YarlipO1F2","9311, mRNA_389, prediction","mRNA_389","prediction"
"62",9576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178,"RYLPO13182","jgi.p|YarlipO1F2|9576",NA,"., jgi.p|YarlipO1F2|9576, mRNA_400, prediction","., jgi.p","YarlipO1F2","9576, mRNA_400, prediction","mRNA_400","prediction"
