"","proteinId","...1.x","ecNum","definition","pathway","gotermID","gotermType","goAcc","kogID","kogdefine","kogClass","iprId","iprDesc","...1.y","Feature","Record.Id","Function","GeneID"
"11",576,9,NA,NA,NA,"2196, 3838, 4504","transcription factor activity, nucleus, regulation of transcription, DNA-dependent","GO:0003700, GO:0005634, GO:0006355","KOG1561","CCAAT-binding factor, subunit B (HAP2)","Transcription","IPR001289, IPR018362, IPR001289, IPR001289","CCAAT-binding transcription factor, subunit B, CCAAT-binding factor, conserved site, CCAAT-binding transcription factor, subunit B, CCAAT-binding transcription factor, subunit B",5338,"RDEBS03085","RDEBS03085","CCAAT-binding transcription factor","jgi.p|Debsub1|576"
"12",580,10,NA,NA,NA,"3727, 3877, 12967","protein binding, anaphase-promoting complex, regulation of mitotic metaphase/anaphase transition","GO:0005515, GO:0005680, GO:0030071","KOG3437","Anaphase-promoting complex (APC), subunit 10","Cell cycle control, cell division, chromosome partitioning , Posttranslational modification, protein turnover, chaperones","IPR004939, IPR004939, IPR008979","Anaphase-promoting complex, subunit 10/DOC domain, Anaphase-promoting complex, subunit 10/DOC domain, Galactose-binding domain-like",5388,"RDEBS03291","RDEBS03291","Anaphase promoting complex subunit (Doc1/Apc10 family)","jgi.p|Debsub1|580"
"13",583,11,NA,NA,NA,"2176","DNA binding","GO:0003677",NA,NA,NA,"IPR009072","Histone-fold",5196,"RDEBS03446","RDEBS03446",NA,"jgi.p|Debsub1|583"
"14",607,12,"2.4.2.14","Amidophosphoribosyltransferase.","Purine metabolism","5830, 6724, 2486, 6721","metabolic process, nucleoside metabolic process, amidophosphoribosyltransferase activity, purine base biosynthetic process","GO:0008152, GO:0009116, GO:0004044, GO:0009113","KOG0572","Glutamine phosphoribosylpyrophosphate amidotransferase","Nucleotide transport and metabolism","IPR000836, IPR000583, IPR005854, IPR017932, IPR029057, IPR029055, IPR005854","Phosphoribosyltransferase domain, Class II glutamine amidotransferase domain, Amidophosphoribosyl transferase, Glutamine amidotransferase type 2 domain, Phosphoribosyltransferase-like, Nucleophile aminohydrolases, N-terminal, Amidophosphoribosyl transferase",5255,"RDEBS02888","RDEBS02888","Amidophosphoribosyltransferase (EC 2.4.2.14)","jgi.p|Debsub1|607"
"15",656,13,NA,NA,NA,"5721, 23919","tRNA processing, FAD binding","GO:0008033, GO:0050660","KOG2311","NAD/FAD-utilizing protein possibly involved in translation","Translation, ribosomal structure and biogenesis","IPR002218, IPR026904, IPR020595, \N, IPR004416","Glucose-inhibited division protein A-related, GidA associated domain 3, Glucose-inhibited division protein A-related, conserved site, \N, Glucose-inhibited division protein A",5186,"RDEBS03496","RDEBS03496","Glucose inhibited division protein A / tRNA (5-carboxymethylaminomethyl-2-thiouridylate) synthase GidA","jgi.p|Debsub1|656"
"16",672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5353,"RDEBS02653","RDEBS02653",NA,"jgi.p|Debsub1|672"
"17",675,14,NA,NA,NA,NA,NA,NA,"KOG0008","Transcription initiation factor TFIID, subunit TAF1","Transcription","IPR022591, \N","Transcription initiation factor TFIID subunit 1, domain of unknown function, \N",5461,"RDEBS02470","RDEBS02470","Transcription initiation factor TFIID subunit","jgi.p|Debsub1|675"
"18",679,15,"3.2.1.26","Beta-fructofuranosidase.","Galactose metabolism","2933, 4143, 2942","hydrolase activity, hydrolyzing O-glycosyl compounds, carbohydrate metabolic process, beta-fructofuranosidase activity","GO:0004553, GO:0005975, GO:0004564","KOG0228","Beta-fructofuranosidase (invertase)","Carbohydrate transport and metabolism","IPR013148, IPR013189, IPR018053, IPR001362, IPR013320, IPR023296","Glycosyl hydrolase family 32, N-terminal, Glycosyl hydrolase family 32, C-terminal, Glycoside hydrolase, family 32, active site, Glycoside hydrolase, family 32, Concanavalin A-like lectin/glucanase domain, Glycosyl hydrolase, five-bladed beta-propellor domain",5403,"RDEBS02296","RDEBS02296","Invertase (EC 3.2.1.26)","jgi.p|Debsub1|679"
"19",682,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPR004305, IPR026285, IPR016084","Thiaminase-2/PQQC, PET18/seed maturation protein PM36, Haem oxygenase-like, multi-helical",5423,"RDEBS02169","RDEBS02169","Transcriptional activator tenA","jgi.p|Debsub1|682"
"20",819,17,NA,NA,NA,"8565, 9237, 9320","nucleobase transmembrane transporter activity, nucleobase, nucleoside, nucleotide and nucleic acid transport, membrane","GO:0015205, GO:0015931, GO:0016020",NA,NA,NA,"IPR001248, IPR026030","Permease, cytosine/purines, uracil, thiamine, allantoin, Purine-cytosine permease",5419,"RDEBS02193","RDEBS02193","Purine-cytosine permease","jgi.p|Debsub1|819"
"21",839,18,NA,NA,NA,"70, 3838, 3846, 3930, 4994, 6212, 5021, 5932, 5951, 3708","protein import into nucleus, docking, nucleus, nuclear pore, cytoplasm, intracellular protein transport, protein transporter activity, apoptosis, importin-alpha export receptor activity, cell proliferation, binding","GO:0000059, GO:0005634, GO:0005643, GO:0005737, GO:0006886, GO:0008565, GO:0006915, GO:0008262, GO:0008283, GO:0005488","KOG1992","Nuclear export receptor CSE1/CAS (importin beta superfamily)","Intracellular trafficking, secretion, and vesicular transport , Nuclear structure","IPR005043, IPR001494, IPR013713, IPR001494, IPR001494, IPR016024","CAS/CSE, C-terminal, Importin-beta, N-terminal domain, Exportin/Importin, Cse1-like, Importin-beta, N-terminal domain, Importin-beta, N-terminal domain, Armadillo-type fold",5206,"RDEBS03002","RDEBS03002","Chromosome segregation protein CSE1","jgi.p|Debsub1|839"
"22",1512,19,NA,NA,NA,"4642, 3727","ubiquitin-dependent protein catabolic process, protein binding","GO:0006511, GO:0005515","KOG1724","SCF ubiquitin ligase, Skp1 component","Posttranslational modification, protein turnover, chaperones","IPR016072, IPR016073, IPR016897, IPR001232, IPR011333, IPR016072","SKP1 component, dimerisation, SKP1 component, POZ domain, S-phase kinase-associated protein 1, S-phase kinase-associated protein 1-like, BTB/POZ fold, SKP1 component, dimerisation",5157,"RDEBS04096","RDEBS04096","Glycoprotein Skp1","jgi.p|Debsub1|1512"
"23",1513,20,NA,NA,NA,"3968, 5126","integral to peroxisomal membrane, peroxisome organization and biogenesis","GO:0005779, GO:0007031","KOG4444","Peroxisomal assembly protein PEX3","Cell wall/membrane/envelope biogenesis , Intracellular trafficking, secretion, and vesicular transport","IPR006966","Peroxin-3",5166,"RDEBS04045","RDEBS04045",NA,"jgi.p|Debsub1|1513"
"24",1515,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPR010760","DNA repair protein, Swi5",5178,"RDEBS03982","RDEBS03982",NA,"jgi.p|Debsub1|1515"
"25",1516,22,NA,NA,NA,"3011, 6721, 2290, 3015, 3930, 4351, 3736","phosphoribosylamine-glycine ligase activity, purine base biosynthetic process, catalytic activity, phosphoribosylformylglycinamidine cyclo-ligase activity, cytoplasm, 'de novo' IMP biosynthetic process, ATP binding","GO:0004637, GO:0009113, GO:0003824, GO:0004641, GO:0005737, GO:0006189, GO:0005524","KOG0237","Glycinamide ribonucleotide synthetase (GARS)/Aminoimidazole ribonucleotide synthetase (AIRS)","Nucleotide transport and metabolism","IPR000728, IPR020561, IPR010918, IPR020560, IPR020562, IPR020559, IPR011761, IPR011054, IPR016185, IPR016188, IPR010918, \N, IPR000115, IPR004733","AIR synthase related protein, N-terminal domain, Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain, AIR synthase-related protein, C-terminal domain, Phosphoribosylglycinamide synthetase, C-domain, Phosphoribosylglycinamide synthetase, N-terminal, Phosphoribosylglycinamide synthetase, conserved site, ATP-grasp fold, Rudiment single hybrid motif, Pre-ATP-grasp domain, PurM, N-terminal-like, AIR synthase-related protein, C-terminal domain, \N, Phosphoribosylglycinamide synthetase, Phosphoribosylformylglycinamidine cyclo-ligase",5085,"RDEBS03926","RDEBS03926","Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) / Phosphoribosylamine--glycine ligase (EC 6.3.4.13) / Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)","jgi.p|Debsub1|1516"
"26",1520,23,NA,NA,NA,"9321","integral to membrane","GO:0016021","KOG1162","Predicted small molecule transporter","Intracellular trafficking, secretion, and vesicular transport","IPR004342, IPR004342","EXS, C-terminal, EXS, C-terminal",5111,"RDEBS03809","RDEBS03809",NA,"jgi.p|Debsub1|1520"
"27",1521,24,NA,NA,NA,NA,NA,NA,"KOG4709","Uncharacterized conserved protein","Function unknown","IPR019186","Nucleolar protein 12",5118,"RDEBS03771","RDEBS03771","Hypothetical protein","jgi.p|Debsub1|1521"
"28",1549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5154,"RDEBS04114","RDEBS04114",NA,"jgi.p|Debsub1|1549"
"29",1658,25,NA,NA,NA,NA,NA,NA,"KOG3017","Defense-related protein containing SCP domain","Function unknown","IPR014044, IPR018244, IPR014044, IPR014044","CAP domain, Allergen V5/Tpx-1-related, conserved site, CAP domain, CAP domain",4967,"RDEBS04866","RDEBS04866",NA,"jgi.p|Debsub1|1658"
"30",1663,26,NA,NA,NA,NA,NA,NA,"KOG2513","Protein required for meiotic chromosome segregation","Cell cycle control, cell division, chromosome partitioning","IPR007632","Anoctamin",4984,"RDEBS04633","RDEBS04633","FATTY ACID HYDROXYLASE FAH1P","jgi.p|Debsub1|1663"
"31",1665,27,NA,NA,NA,"2175","nucleic acid binding","GO:0003676","KOG0118","FOG: RRM domain","General function prediction only","IPR006630, IPR000504, IPR006630, IPR006630, \N, \N","RNA-binding protein Lupus La, RNA recognition motif domain, RNA-binding protein Lupus La, RNA-binding protein Lupus La, \N, \N",4995,"RDEBS04576","RDEBS04576",NA,"jgi.p|Debsub1|1665"
"32",1666,28,NA,NA,NA,"2176, 2353, 3838, 4421","DNA binding, DNA-directed DNA polymerase activity, nucleus, DNA replication","GO:0003677, GO:0003887, GO:0005634, GO:0006260","KOG1625","DNA polymerase alpha-primase complex, polymerase-associated subunit B","Replication, recombination and repair","IPR007185, IPR013627, IPR016722","DNA polymerase alpha/epsilon, subunit B, DNA polymerase alpha, subunit B N-terminal, DNA polymerase alpha, subunit B",5010,"RDEBS04509","RDEBS04509","DNA-directed DNA polymerase, alpha/epsilon subunit B (EC 2.7.7.7)","jgi.p|Debsub1|1666"
"33",1788,29,"4.2.1.70","Pseudouridylate synthase.","Pyrimidine metabolism","754, 2216, 7550, 3096","pseudouridine synthesis, RNA binding, pseudouridine synthase activity, pseudouridylate synthase activity","GO:0001522, GO:0003723, GO:0009982, GO:0004730","KOG1919","RNA pseudouridylate synthases","RNA processing and modification","IPR006145, IPR006224, IPR020103","Pseudouridine synthase, RsuA/RluB/C/D/E/F, Pseudouridine synthase, RluC/RluD, conserved site, Pseudouridine synthase, catalytic domain",4974,"RDEBS04823","RDEBS04823",NA,"jgi.p|Debsub1|1788"
"34",1844,30,"3.6.3.44","Xenobiotic-transporting ATPase.","\N","3736, 10082, 162, 10269, 6209","ATP binding, ATPase activity, nucleotide binding, nucleoside-triphosphatase activity, xenobiotic-transporting ATPase activity","GO:0005524, GO:0016887, GO:0000166, GO:0017111, GO:0008559","KOG0065","Pleiotropic drug resistance proteins (PDR1-15), ABC superfamily","Secondary metabolites biosynthesis, transport and catabolism","IPR003439, IPR013525, IPR017871, IPR003439, IPR003593, IPR027417","ABC transporter-like, ABC-2 type transporter, ABC transporter, conserved site, ABC transporter-like, AAA+ ATPase domain, P-loop containing nucleoside triphosphate hydrolase",4921,"RDEBS05078","RDEBS05078","Nuclear pore complex protein Nup214","jgi.p|Debsub1|1844"
"35",1848,31,NA,NA,NA,"3043, 3736, 4602, 3045, 3056, 4133, 6245","protein kinase activity, ATP binding, protein amino acid phosphorylation, protein serine/threonine kinase activity, phosphorylase kinase activity, phosphorylase kinase complex, phosphorylase kinase regulator activity","GO:0004672, GO:0005524, GO:0006468, GO:0004674, GO:0004689, GO:0005964, GO:0008607","KOG0032","Ca2+/calmodulin-dependent protein kinase, EF-Hand protein superfamily","Signal transduction mechanisms","IPR000719, IPR017441, IPR008271, IPR000719, IPR002290, IPR011009","Protein kinase domain, Protein kinase, ATP binding site, Serine/threonine-protein kinase, active site, Protein kinase domain, Serine/threonine/dual specificity protein kinase, catalytic  domain, Protein kinase-like domain",4874,"RDEBS05198","RDEBS05198","Serine/threonine-protein kinase RCK2 (EC 2.7.1.-)","jgi.p|Debsub1|1848"
"36",1867,32,NA,NA,NA,"2196, 3838, 4504, 5939, 2176, 4499","transcription factor activity, nucleus, regulation of transcription, DNA-dependent, zinc ion binding, DNA binding, transcription","GO:0003700, GO:0005634, GO:0006355, GO:0008270, GO:0003677, GO:0006350",NA,NA,NA,"IPR001138, IPR007219, IPR001138, IPR001138, IPR001138, IPR007219, IPR001138","Zn(2)-C6 fungal-type DNA-binding domain, Transcription factor domain, fungi, Zn(2)-C6 fungal-type DNA-binding domain, Zn(2)-C6 fungal-type DNA-binding domain, Zn(2)-C6 fungal-type DNA-binding domain, Transcription factor domain, fungi, Zn(2)-C6 fungal-type DNA-binding domain",4823,"RDEBS05472","RDEBS05472","Proline utilization trans-activator","jgi.p|Debsub1|1867"
"37",1873,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPR021211","Protein of unknown function DUF2731",4805,"RDEBS05720","RDEBS05720","SAM complex protein SAM35","jgi.p|Debsub1|1873"
"38",1874,34,"3.4.19.12","Ubiquitinyl hydrolase 1.","\N","2657, 4642, 5939","ubiquitin thiolesterase activity, ubiquitin-dependent protein catabolic process, zinc ion binding","GO:0004221, GO:0006511, GO:0008270","KOG2026","Spindle pole body protein - Sad1p","Cytoskeleton","IPR001394, IPR001607, IPR028889, IPR001607, IPR001607, \N, \N","Peptidase C19, ubiquitin carboxyl-terminal hydrolase, Zinc finger, UBP-type, Ubiquitin specific protease domain, Zinc finger, UBP-type, Zinc finger, UBP-type, \N, \N",4798,"RDEBS05762","RDEBS05762","7,8-dihydro-8-oxoguanine triphosphatase (EC 3.1.6.-)","jgi.p|Debsub1|1874"
"39",1877,35,NA,NA,NA,NA,NA,NA,"KOG1439","RAB proteins geranylgeranyltransferase component A (RAB escort protein)","Posttranslational modification, protein turnover, chaperones","IPR018203, \N, \N","GDP dissociation inhibitor, \N, \N",4847,"RDEBS05905","RDEBS05905","Secretory pathway GDP dissociation inhibitor","jgi.p|Debsub1|1877"
"40",1880,36,NA,NA,NA,"9367, 13392","mRNA metabolic process, ribonucleoprotein complex","GO:0016071, GO:0030529","KOG1775","U6 snRNA-associated Sm-like protein","RNA processing and modification","IPR001163, IPR006649, IPR010920","Ribonucleoprotein LSM domain, Ribonucleoprotein LSM domain, eukaryotic/archaea-type, Like-Sm (LSM) domain",4769,"RDEBS05985","RDEBS05985","U6 snRNA-associated Sm-like protein LSm5","jgi.p|Debsub1|1880"
"41",1882,37,NA,NA,NA,NA,NA,NA,"KOG2690","Uncharacterized conserved protein, contains BSD domain","Function unknown","IPR005607, IPR005607, IPR005607, \N","BSD, BSD, BSD, \N",4741,"RDEBS06087","RDEBS06087",NA,"jgi.p|Debsub1|1882"
"42",1887,38,"3.2.1.58","Glucan 1,3-beta-glucosidase.","Starch and sucrose metabolism","2744","glucan 1,3-beta-glucosidase activity","GO:0004338",NA,NA,NA,"IPR017853","Glycoside hydrolase superfamily",4672,"RDEBS06291","RDEBS06291","Glucan 1,3-beta-glucosidase (EC 3.2.1.58)","jgi.p|Debsub1|1887"
"43",1993,39,NA,NA,NA,"3430, 3930","Rho GDP-dissociation inhibitor activity, cytoplasm","GO:0005094, GO:0005737","KOG3205","Rho GDP-dissociation inhibitor","Signal transduction mechanisms","IPR000406, IPR014756","RHO protein GDP dissociation inhibitor, Immunoglobulin E-set",4639,"RDEBS06534","RDEBS06534","Rho GDP-dissociation inhibitor","jgi.p|Debsub1|1993"
"44",1995,40,NA,NA,NA,"3727, 4595, 4994, 9480, 13011, 3708","protein binding, protein complex assembly, intracellular protein transport, vesicle-mediated transport, membrane coat, binding","GO:0005515, GO:0006461, GO:0006886, GO:0016192, GO:0030117, GO:0005488","KOG1061","Vesicle coat complex AP-1/AP-2/AP-4, beta subunit","Intracellular trafficking, secretion, and vesicular transport","IPR002553, IPR016342, IPR016024","Clathrin/coatomer adaptor, adaptin-like, N-terminal, AP-1, 2,4 complex subunit beta, Armadillo-type fold",4750,"RDEBS06444","RDEBS06444","Beta-adaptin","jgi.p|Debsub1|1995"
"45",1998,41,"3.4.19.12","Ubiquitinyl hydrolase 1.","\N","2657, 4642","ubiquitin thiolesterase activity, ubiquitin-dependent protein catabolic process","GO:0004221, GO:0006511","KOG1868","Ubiquitin C-terminal hydrolase","Posttranslational modification, protein turnover, chaperones","IPR001394, IPR018200, IPR018200, IPR028889, IPR001763, \N","Peptidase C19, ubiquitin carboxyl-terminal hydrolase, Ubiquitin specific protease, conserved site, Ubiquitin specific protease, conserved site, Ubiquitin specific protease domain, Rhodanese-like domain, \N",4716,"RDEBS06238","RDEBS06238","Ubiquitin carboxyl-terminal hydrolase (EC 3.1.2.15)","jgi.p|Debsub1|1998"
"46",2014,42,NA,NA,NA,"3546, 4927, 9321","transporter activity, transport, integral to membrane","GO:0005215, GO:0006810, GO:0016021","KOG0236","Sulfate/bicarbonate/oxalate exchanger SAT-1 and related transporters (SLC26 family)","Inorganic ion transport and metabolism","IPR011547, IPR002645, IPR030402, IPR018045, IPR002645, IPR002645","Sulphate transporter, STAS domain, Sulfate transporter N-terminal domain with GLY motif, Sulphate anion transporter, conserved site, STAS domain, STAS domain",4903,"RDEBS05602","RDEBS05602","Sulfate transporter","jgi.p|Debsub1|2014"
"47",2309,43,NA,NA,NA,"2175, 2792, 3736, 5716","nucleic acid binding, helicase activity, ATP binding, ATP-dependent helicase activity","GO:0003676, GO:0004386, GO:0005524, GO:0008026","KOG4150","Predicted ATP-dependent RNA helicase","RNA processing and modification","IPR011545, IPR001650, IPR018973, IPR014001, IPR001650, IPR014001, IPR001650, IPR027417","DEAD/DEAH box helicase domain, Helicase, C-terminal, DEAD/DEAH-box helicase, putative, Helicase superfamily 1/2, ATP-binding domain, Helicase, C-terminal, Helicase superfamily 1/2, ATP-binding domain, Helicase, C-terminal, P-loop containing nucleoside triphosphate hydrolase",4661,"RDEBS06360","RDEBS06360","DEAD/DEAH box helicase family protein","jgi.p|Debsub1|2309"
"48",2559,44,NA,NA,NA,"3043, 3736, 4602, 3045, 3073","protein kinase activity, ATP binding, protein amino acid phosphorylation, protein serine/threonine kinase activity, MAP kinase activity","GO:0004672, GO:0005524, GO:0006468, GO:0004674, GO:0004707","KOG0660","Mitogen-activated protein kinase","Signal transduction mechanisms","IPR000719, IPR017441, IPR008271, IPR000719, IPR002290, IPR011009","Protein kinase domain, Protein kinase, ATP binding site, Serine/threonine-protein kinase, active site, Protein kinase domain, Serine/threonine/dual specificity protein kinase, catalytic  domain, Protein kinase-like domain",4625,"RDEBS06555","RDEBS06555",NA,"jgi.p|Debsub1|2559"
"49",2704,45,NA,NA,NA,NA,NA,NA,"KOG2203","GTP-binding protein","General function prediction only","IPR008803, IPR030386, IPR027417","RHD3/Sey1, GB1/RHD3-type guanine nucleotide-binding (G) domain, P-loop containing nucleoside triphosphate hydrolase",4689,"RDEBS06783","RDEBS06783","Putative GTP-binding protein","jgi.p|Debsub1|2704"
"50",2710,46,"3.4.24.-","Metalloendopeptidases.","\N","2679, 5813, 5987, 13282","stromelysin 3 activity, collagenase activity, prenyl protein specific endopeptidase activity, matrilysin-2 activity","GO:0004249, GO:0008133, GO:0008319, GO:0030402","KOG3314","Ku70-binding protein","Replication, recombination and repair","IPR019165","Peptidase M76, ATP23",4476,"RDEBS07654","RDEBS07654","Hypothetical protein","jgi.p|Debsub1|2710"
"51",2718,47,NA,NA,NA,"2175, 3827, 5939","nucleic acid binding, intracellular, zinc ion binding","GO:0003676, GO:0005622, GO:0008270","KOG1721","FOG: Zn-finger","General function prediction only","\N, IPR007087, IPR007087, IPR015880, \N","\N, Zinc finger, C2H2, Zinc finger, C2H2, Zinc finger, C2H2-like, \N",4510,"RDEBS07439","RDEBS07439",NA,"jgi.p|Debsub1|2718"
"52",2719,48,"3.8.1.5","Haloalkane dehalogenase.","1,2-Dichloroethane degradation","11087","haloalkane dehalogenase activity","GO:0018786","KOG4178","Soluble epoxide hydrolase","Lipid transport and metabolism","IPR000073, IPR029058","Alpha/beta hydrolase fold-1, Alpha/Beta hydrolase fold",4515,"RDEBS07410","RDEBS07410","2-hydroxymuconic semialdehyde hydrolase (EC 3.7.1.9)","jgi.p|Debsub1|2719"
"53",2724,49,NA,NA,NA,NA,NA,NA,"KOG0682","Ammonia permease","Inorganic ion transport and metabolism","IPR024041, IPR018047, IPR024041","Ammonium transporter AmtB-like domain, Ammonium transporter, conserved site, Ammonium transporter AmtB-like domain",4558,"RDEBS07167","RDEBS07167","Ammonium transporter","jgi.p|Debsub1|2724"
"54",2726,50,NA,NA,NA,"3727","protein binding","GO:0005515","KOG0619","FOG: Leucine rich repeat","General function prediction only","IPR001611, IPR019487, IPR001611, IPR003591, \N","Leucine-rich repeat, RAM signalling pathway, SOG2, Leucine-rich repeat, Leucine-rich repeat, typical subtype, \N",4563,"RDEBS07081","RDEBS07081","Leucine-rich-repeat protein-like","jgi.p|Debsub1|2726"
"55",2728,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPR013217, IPR021829, IPR029063","Methyltransferase type 12, Protein of unknown function DUF3419, S-adenosyl-L-methionine-dependent methyltransferase",4575,"RDEBS07011","RDEBS07011","S-adenosylmethionine:diacylglycerol 3-amino-3-carboxypropyl transferase (EC 2.-.-.-) / S-adenosylmethionine:diacylgycerolhomoserine N-methyltransferase (EC 2.1.1.-)","jgi.p|Debsub1|2728"
"56",2730,52,NA,NA,NA,"13917","heat shock protein binding","GO:0031072",NA,NA,NA,"IPR001623, IPR018253, IPR001623, IPR001623","DnaJ domain, DnaJ domain, conserved site, DnaJ domain, DnaJ domain",4584,"RDEBS06963","RDEBS06963","Chaperone protein dnaJ","jgi.p|Debsub1|2730"
"57",2731,53,"3.5.1.25","N-acetylglucosamine-6-phosphate deacetylase.","Aminosugars metabolism","4212, 6107, 9985, 10005","N-acetylglucosamine metabolic process, N-acetylglucosamine-6-phosphate deacetylase activity, hydrolase activity, hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","GO:0006044, GO:0008448, GO:0016787, GO:0016810","KOG3892","N-acetyl-glucosamine-6-phosphate deacetylase","Carbohydrate transport and metabolism","IPR006680, IPR003764, IPR011059, \N, IPR003764","Amidohydrolase 1, N-acetylglucosamine-6-phosphate deacetylase, Metal-dependent hydrolase, composite domain, \N, N-acetylglucosamine-6-phosphate deacetylase",4595,"RDEBS06934","RDEBS06934","N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)","jgi.p|Debsub1|2731"
