"Feature","Record Id","Function","Aliases","Cont R1","Cont R2","Cont R3","Low FE R1","Low FE R2","Low FE R3","Low N R1","Low N R2","Low N R3","Salt R1","Salt R2","Salt R3"
"RDEBH11187","jgi.p|Debha1|1044","","., jgi.p|Debha1|1044, mRNA_1044, prediction","356","361","346","217","193","76","92","158","134","663","108","256"
"RDEBH11224","jgi.p|Debha1|1045","Sulfonate/alpha -Ketoglutarate Dioxygenase (EC 1.14.11.17)","., jgi.p|Debha1|1045, mRNA_1045, prediction","371","447","378","866","711","328","210","472","157","666","145","281"
"RDEBH11246","jgi.p|Debha1|1046","","., jgi.p|Debha1|1046, mRNA_1046, prediction","36","76","50","101","102","55","23","60","20","35","19","21"
"RDEBH11254","jgi.p|Debha1|1047","","., jgi.p|Debha1|1047, mRNA_1047, prediction","65","107","58","120","127","44","25","55","29","38","13","23"
"RDEBH11266","jgi.p|Debha1|1048","","., jgi.p|Debha1|1048, mRNA_1048, prediction","421","459","438","313","290","159","161","289","218","1845","409","787"
"RDEBH11294","jgi.p|Debha1|1049","","., jgi.p|Debha1|1049, mRNA_1049, prediction","332","430","337","366","428","209","255","285","154","764","443","308"
"RDEBH02920","jgi.p|Debha1|105","Inorganic phosphate transporter PHO88","., jgi.p|Debha1|105, mRNA_105, prediction","16587","25819","16513","14347","18175","8223","10262","18075","7023","8292","3339","3651"
"RDEBH11302","jgi.p|Debha1|1050","","., jgi.p|Debha1|1050, mRNA_1050, prediction","27","32","50","29","30","13","16","23","9","56","19","25"
"RDEBH11311","jgi.p|Debha1|1051","Integral membrane protein","., jgi.p|Debha1|1051, mRNA_1051, prediction","25","36","37","25","35","16","20","33","18","210","68","69"
"RDEBH11336","jgi.p|Debha1|1052","DNA replication licensing factor MCM7","., jgi.p|Debha1|1052, mRNA_1052, prediction","275","393","320","263","322","135","139","212","186","1166","300","395"
"RDEBH11374","jgi.p|Debha1|1053","","., jgi.p|Debha1|1053, mRNA_1053, prediction","365","822","298","891","1010","459","194","494","402","2729","561","1205"
"RDEBH11403","jgi.p|Debha1|1054","","., jgi.p|Debha1|1054, mRNA_1054, prediction","1135","1524","927","1672","1697","694","749","1438","435","1294","573","701"
"RDEBH11415","jgi.p|Debha1|1055","Suppressor protein MPT4","., jgi.p|Debha1|1055, mRNA_1055, prediction","19764","43558","22633","29812","35240","16442","13991","29917","14965","26614","7460","11997"
"RDEBH11441","jgi.p|Debha1|1056","ARF guanine nucleotide exchange protein","., jgi.p|Debha1|1056, mRNA_1056, prediction","406","741","363","584","620","322","215","430","261","2056","482","853"
"RDEBH11533","jgi.p|Debha1|1057","","., jgi.p|Debha1|1057, mRNA_1057, prediction","6499","15275","6384","14139","14554","7708","3764","6491","5158","12843","2222","4828"
"RDEBH11609","jgi.p|Debha1|1058","","., jgi.p|Debha1|1058, mRNA_1058, prediction","247","82","225","20","23","14","69","97","12","7","18","12"
"RDEBH11613","jgi.p|Debha1|1059","Hypothetical protein","., jgi.p|Debha1|1059, mRNA_1059, prediction","115","108","83","114","117","54","65","141","21","384","156","197"
"RDEBH02929","jgi.p|Debha1|106","Nuclease (EC 3.1.31.1)","., jgi.p|Debha1|106, mRNA_106, prediction","551","818","590","632","636","353","368","760","263","3030","822","1242"
"RDEBH11645","jgi.p|Debha1|1060","","., jgi.p|Debha1|1060, mRNA_1060, prediction","5715","3436","5388","2502","2807","1189","3118","5335","959","1124","1022","818"
"RDEBH11670","jgi.p|Debha1|1061","Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","., jgi.p|Debha1|1061, mRNA_1061, prediction","146","164","157","105","142","79","87","114","66","817","163","289"
"RDEBH11699","jgi.p|Debha1|1062","FAD/FMN-containing dehydrogenases","., jgi.p|Debha1|1062, mRNA_1062, prediction","347","455","389","344","331","131","226","320","219","1144","300","489"
"RDEBH11723","jgi.p|Debha1|1063","Hypothetical cytosolic protein","., jgi.p|Debha1|1063, mRNA_1063, prediction","259","539","343","395","478","197","200","553","167","639","278","275"
"RDEBH11735","jgi.p|Debha1|1064","Cell division control protein 11","., jgi.p|Debha1|1064, mRNA_1064, prediction","163","193","174","113","147","69","92","130","47","846","367","308"
"RDEBH11759","jgi.p|Debha1|1065","Coatomer epsilon subunit","., jgi.p|Debha1|1065, mRNA_1065, prediction","538","386","499","238","177","103","193","207","156","450","261","207"
"RDEBH11775","jgi.p|Debha1|1066","","., jgi.p|Debha1|1066, mRNA_1066, prediction","366","1264","422","1215","1197","606","288","572","512","2157","389","733"
"RDEBH11791","jgi.p|Debha1|1067","Threonyl-tRNA synthetase (EC 6.1.1.3)","., jgi.p|Debha1|1067, mRNA_1067, prediction","364","553","466","345","417","200","299","347","184","1742","379","571"
"RDEBH11823","jgi.p|Debha1|1068","","., jgi.p|Debha1|1068, mRNA_1068, prediction","37","77","52","90","83","27","33","61","32","208","78","60"
"RDEBH11835","jgi.p|Debha1|1069","LSU ribosomal protein MRPL38","., jgi.p|Debha1|1069, mRNA_1069, prediction","3077","4307","3345","3683","3809","1495","2457","3388","1322","1180","663","690"
"RDEBH02973","jgi.p|Debha1|107","","., jgi.p|Debha1|107, mRNA_107, prediction","2349","3887","2734","2832","3066","1478","1757","3528","1088","4530","2614","2601"
"RDEBH11839","jgi.p|Debha1|1070","Beta 1,6-glucan synthesis protein","., jgi.p|Debha1|1070, mRNA_1070, prediction","2802","4986","3097","4141","4268","1993","1771","2970","1713","7333","2512","3729"
"RDEBH11867","jgi.p|Debha1|1071","Beta 1,6-glucan synthesis protein","., jgi.p|Debha1|1071, mRNA_1071, prediction","129","260","167","286","276","132","77","135","101","840","168","326"
"RDEBH11895","jgi.p|Debha1|1072","","., jgi.p|Debha1|1072, mRNA_1072, prediction","1117","1420","1172","1264","1351","520","604","1403","357","528","148","255"
"RDEBH11915","jgi.p|Debha1|1073","Succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.16)","., jgi.p|Debha1|1073, mRNA_1073, prediction","457","717","484","775","741","348","277","574","264","5419","1260","1979"
"RDEBH11938","jgi.p|Debha1|1074","Agmatinase (EC 3.5.3.11)","0, gene_1074, jgi.p|Debha1|1074, prediction","480","386","432","477","466","204","265","506","106","2311","1107","1202"
"RDEBH11974","jgi.p|Debha1|1075","","., jgi.p|Debha1|1075, mRNA_1075, prediction","73","147","99","75","104","50","66","124","65","177","47","60"
"RDEBH11998","jgi.p|Debha1|1076","","., jgi.p|Debha1|1076, mRNA_1076, prediction","3256","7749","3513","6278","6998","3210","2153","4909","2457","10205","2382","4564"
"RDEBH12018","jgi.p|Debha1|1077","Hypothetical protein","., jgi.p|Debha1|1077, mRNA_1077, prediction","181","191","159","224","226","86","102","159","65","847","294","311"
"RDEBH12041","jgi.p|Debha1|1078","Chromosome segregation protein STS1","0, gene_1078, jgi.p|Debha1|1078, prediction","291","287","337","247","269","129","138","195","135","1143","238","406"
"RDEBH12062","jgi.p|Debha1|1079","","., jgi.p|Debha1|1079, mRNA_1079, prediction","5","4","2","5","4","2","4","6","2","10","0","1"
"RDEBH02993","jgi.p|Debha1|108","","., jgi.p|Debha1|108, mRNA_108, prediction","756","1514","885","1148","1365","599","489","1084","521","2885","790","1256"
"RDEBH12070","jgi.p|Debha1|1080","WD-repeat family protein","., jgi.p|Debha1|1080, mRNA_1080, prediction","151","210","144","133","155","105","94","143","87","209","65","83"
"RDEBH12112","jgi.p|Debha1|1081","Dihydroorotate dehydrogenase (EC 1.3.98.1)","., jgi.p|Debha1|1081, mRNA_1081, prediction","1118","3154","1119","2729","2721","1372","785","1549","1299","3745","752","1523"
"RDEBH12136","jgi.p|Debha1|1082","Microtubule-associated protein Dam1p","., jgi.p|Debha1|1082, mRNA_1082, prediction","715","1311","804","1018","1237","554","439","1331","437","1026","319","529"
"RDEBH12156","jgi.p|Debha1|1083","","0, gene_1083, jgi.p|Debha1|1083, prediction","559","399","502","205","208","67","163","292","80","303","185","150"
"RDEBH12169","jgi.p|Debha1|1084","Hypothetical membrane spanning protein","., jgi.p|Debha1|1084, mRNA_1084, prediction","3946","5990","4541","3604","4511","2058","2349","5123","1526","3211","1230","1770"
"RDEBH12189","jgi.p|Debha1|1085","Cytochrome c oxidase assembly protein Surf1","., jgi.p|Debha1|1085, mRNA_1085, prediction","206","588","274","469","410","234","186","243","291","1105","238","522"
"RDEBH12221","jgi.p|Debha1|1086","","., jgi.p|Debha1|1086, mRNA_1086, prediction","6830","7818","8854","6185","6859","3423","4178","9747","2149","1841","958","763"
"RDEBH12235","jgi.p|Debha1|1087","RNA polymerase II mediator subunit Nut2","., jgi.p|Debha1|1087, mRNA_1087, prediction","271","774","254","609","679","374","170","376","335","1567","292","667"
"RDEBH12247","jgi.p|Debha1|1088","","., jgi.p|Debha1|1088, mRNA_1088, prediction","210","300","205","243","268","142","113","213","134","579","193","243"
"RDEBH12267","jgi.p|Debha1|1089","Hypothetical protein","., jgi.p|Debha1|1089, mRNA_1089, prediction","6332","3352","6570","1868","2518","1186","2720","5609","730","3278","3416","1859"
"RDEBH03026","jgi.p|Debha1|109","Hypothetical protein","., jgi.p|Debha1|109, mRNA_109, prediction","5221","8663","5358","7871","8070","3372","3749","6826","2564","2748","1229","1384"
"RDEBH12275","jgi.p|Debha1|1090","4-carboxymuconolactone decarboxylase (EC 4.1.1.44)","., jgi.p|Debha1|1090, mRNA_1090, prediction","511","766","501","565","590","330","248","549","290","2110","584","1107"
"RDEBH12292","jgi.p|Debha1|1091","ATPase","., jgi.p|Debha1|1091, mRNA_1091, prediction","45","49","36","37","46","15","14","23","18","414","114","145"
"RDEBH12320","jgi.p|Debha1|1092","Myotubularin-related protein 1","., jgi.p|Debha1|1092, mRNA_1092, prediction","177","224","172","162","216","110","99","192","62","615","174","273"
"RDEBH12349","jgi.p|Debha1|1093","WD-repeat family protein","., jgi.p|Debha1|1093, mRNA_1093, prediction","89","141","84","71","65","55","51","72","36","279","103","91"
"RDEBH12400","jgi.p|Debha1|1094","Oxysterol-binding protein","., jgi.p|Debha1|1094, mRNA_1094, prediction","542","615","554","717","669","265","310","560","223","3901","1237","1683"
"RDEBH12452","jgi.p|Debha1|1095","U1 small nuclear ribonucleoprotein A","., jgi.p|Debha1|1095, mRNA_1095, prediction","98","235","122","267","245","96","102","128","98","315","88","136"
"RDEBH12464","jgi.p|Debha1|1096","Protoporphyrinogen oxidase (EC 1.3.3.4)","., jgi.p|Debha1|1096, mRNA_1096, prediction","110","108","89","111","94","46","65","115","39","666","193","258"
"RDEBH12499","jgi.p|Debha1|1097","Hypothetical protein","., jgi.p|Debha1|1097, mRNA_1097, prediction","100","151","127","169","199","77","61","101","72","807","312","372"
"RDEBH12563","jgi.p|Debha1|1098","Hypothetical protein","., jgi.p|Debha1|1098, mRNA_1098, prediction","13","22","26","21","25","9","5","14","5","230","61","100"
"RDEBH12598","jgi.p|Debha1|1099","Rhamnolipids biosynthesis 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)","., jgi.p|Debha1|1099, mRNA_1099, prediction","325","492","356","595","529","249","238","389","186","1532","497","689"
"RDEBH00306","jgi.p|Debha1|11","","0, gene_11, jgi.p|Debha1|11, prediction","0","1","0","3","1","1","0","2","1","7","1","4"
"RDEBH03038","jgi.p|Debha1|110","","., jgi.p|Debha1|110, mRNA_110, prediction","138","122","123","109","106","42","44","92","41","1490","548","540"
"RDEBH12602","jgi.p|Debha1|1100","","., jgi.p|Debha1|1100, mRNA_1100, prediction","56","83","64","71","87","36","41","78","23","184","70","103"
"RDEBH12643","jgi.p|Debha1|1101","","., jgi.p|Debha1|1101, mRNA_1101, prediction","1025","1607","1258","1455","1444","745","691","1153","1032","4645","777","1811"
"RDEBH12663","jgi.p|Debha1|1102","19S/PA700 proteasome regulatory particle subunit Rpn2p/S2","., jgi.p|Debha1|1102, mRNA_1102, prediction","470","613","526","485","540","235","360","559","193","2273","742","854"
"RDEBH12707","jgi.p|Debha1|1103","Hypothetical protein","., jgi.p|Debha1|1103, mRNA_1103, prediction","428","513","394","582","548","197","280","400","207","3724","1075","1761"
"RDEBH12731","jgi.p|Debha1|1104","Sphingosine kinase  (EC 2.7.1.91)","., jgi.p|Debha1|1104, mRNA_1104, prediction","107","185","148","170","150","59","79","103","78","959","230","355"
"RDEBH12763","jgi.p|Debha1|1105","","., jgi.p|Debha1|1105, mRNA_1105, prediction","98","47","67","18","30","11","13","30","13","17","12","7"
"RDEBH12808","jgi.p|Debha1|1106","COP9 signalosome complex subunit 2","., jgi.p|Debha1|1106, mRNA_1106, prediction","54","56","69","68","38","29","36","38","21","405","101","108"
"RDEBH12841","jgi.p|Debha1|1107","Vacuolar ATP synthase subunit C (EC 3.6.3.14)","., jgi.p|Debha1|1107, mRNA_1107, prediction","944","984","841","725","800","378","534","536","420","2006","755","801"
"RDEBH12857","jgi.p|Debha1|1108","Exonuclease I","., jgi.p|Debha1|1108, mRNA_1108, prediction","101","126","134","79","87","38","65","138","51","219","83","103"
"RDEBH12882","jgi.p|Debha1|1109","Regulator of vesicular traffic Hva22 family","., jgi.p|Debha1|1109, mRNA_1109, prediction","22860","21792","25054","9425","12338","5492","10863","17115","5068","18636","15423","9793"
"RDEBH03070","jgi.p|Debha1|111","","., jgi.p|Debha1|111, mRNA_111, prediction","14","21","24","9","14","7","6","15","2","13","7","14"
"RDEBH12899","jgi.p|Debha1|1110","Gamma-adaptin","., jgi.p|Debha1|1110, mRNA_1110, prediction","163","257","177","227","224","79","95","139","75","1157","248","384"
"RDEBH12928","jgi.p|Debha1|1111","Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)","., jgi.p|Debha1|1111, mRNA_1111, prediction","23","34","38","24","30","16","32","26","19","211","45","86"
"RDEBH12939","jgi.p|Debha1|1112","Serine/threonine-protein kinase SKY1 (EC 2.7.1.-)","0, gene_1112, jgi.p|Debha1|1112, prediction","273","207","265","126","200","76","94","204","76","765","377","406"
"RDEBH13004","jgi.p|Debha1|1113","GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE (EC 2.3.1.15) / DIHYDROXYACETONE PHOSPHATE ACYLTRANSFERASE (EC 2.3.1.42)","., jgi.p|Debha1|1113, mRNA_1113, prediction","210","238","224","224","257","139","116","227","91","921","185","427"
"RDEBH13045","jgi.p|Debha1|1114","","., jgi.p|Debha1|1114, mRNA_1114, prediction","40","42","59","47","41","15","33","53","12","52","27","18"
"RDEBH13056","jgi.p|Debha1|1115","","0, gene_1115, jgi.p|Debha1|1115, prediction","277","123","259","61","61","25","70","126","24","39","72","38"
"RDEBH13081","jgi.p|Debha1|1116","","., jgi.p|Debha1|1116, mRNA_1116, prediction","58","43","72","32","41","19","34","90","18","51","33","30"
"RDEBH13101","jgi.p|Debha1|1117","INOSITOLPHOSPHORYLCERAMIDE MANNOSYLTRANSFERASE (EC 2.4.1.-)","., jgi.p|Debha1|1117, mRNA_1117, prediction","647","1394","655","1120","1147","515","368","745","560","3310","750","1837"
"RDEBH13153","jgi.p|Debha1|1118","Membrane protease family, stomatin/prohibitin homologs","., jgi.p|Debha1|1118, mRNA_1118, prediction","997","1636","1014","1460","1475","669","569","1027","781","3554","918","1453"
"RDEBH13173","jgi.p|Debha1|1119","","., jgi.p|Debha1|1119, mRNA_1119, prediction","45","43","38","41","35","21","31","29","27","133","50","47"
"RDEBH03082","jgi.p|Debha1|112","","., jgi.p|Debha1|112, mRNA_112, prediction","421","292","449","134","184","67","183","285","84","285","248","138"
"RDEBH13198","jgi.p|Debha1|1120","Murein hydrolase export regulator","., jgi.p|Debha1|1120, mRNA_1120, prediction","511","564","490","481","539","255","228","396","211","3893","875","1750"
"RDEBH13243","jgi.p|Debha1|1121","","., jgi.p|Debha1|1121, mRNA_1121, prediction","2436","3805","2060","2503","2503","1104","1623","1848","1056","2373","947","1167"
"RDEBH13255","jgi.p|Debha1|1122","","., jgi.p|Debha1|1122, mRNA_1122, prediction","7644","14886","8917","10836","11666","5379","4579","9362","5046","25578","8818","11717"
"RDEBH13283","jgi.p|Debha1|1123","tRNA (guanine-9-N(1)-)-methyltransferase (EC 2.1.1.31)","., jgi.p|Debha1|1123, mRNA_1123, prediction","423","1008","545","785","777","424","310","616","376","1179","329","508"
"RDEBH13299","jgi.p|Debha1|1124","CYP1 activatory protein","., jgi.p|Debha1|1124, mRNA_1124, prediction","138","169","136","155","181","70","84","144","59","635","210","290"
"RDEBH13335","jgi.p|Debha1|1125","Transcriptional regulator","., jgi.p|Debha1|1125, mRNA_1125, prediction","371","306","412","385","429","209","201","346","99","1248","425","584"
"RDEBH13375","jgi.p|Debha1|1126","Transcriptional regulator","., jgi.p|Debha1|1126, mRNA_1126, prediction","159","243","153","207","206","104","75","170","71","877","262","367"
"RDEBH13436","jgi.p|Debha1|1127","","., jgi.p|Debha1|1127, mRNA_1127, prediction","3295","4383","3783","2915","3338","1576","1844","3642","1196","1719","690","842"
"RDEBH13449","jgi.p|Debha1|1128","Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)","., jgi.p|Debha1|1128, mRNA_1128, prediction","155","202","104","152","197","79","88","177","62","1018","263","528"
"RDEBH13497","jgi.p|Debha1|1129","","., jgi.p|Debha1|1129, mRNA_1129, prediction","2","0","0","0","0","1","3","4","1","3","0","1"
"RDEBH03093","jgi.p|Debha1|113","Catalase (EC 1.11.1.6)","0, gene_113, jgi.p|Debha1|113, prediction","237","202","218","109","137","54","79","158","46","203","123","113"
"RDEBH13509","jgi.p|Debha1|1130","SAGA histone acetyltransferase complex regulatory subunit SGF11","., jgi.p|Debha1|1130, mRNA_1130, prediction","171","241","148","182","214","90","119","183","64","188","103","86"
"RDEBH13522","jgi.p|Debha1|1131","tRNA-splicing endonuclease subunit SEN54 (EC 3.1.27.9)","., jgi.p|Debha1|1131, mRNA_1131, prediction","42","68","66","57","50","19","44","38","23","161","49","60"
"RDEBH13530","jgi.p|Debha1|1132","Hypothetical protein","., jgi.p|Debha1|1132, mRNA_1132, prediction","37","40","23","18","19","5","6","11","15","148","55","60"
"RDEBH13556","jgi.p|Debha1|1133","","., jgi.p|Debha1|1133, mRNA_1133, prediction","14","36","20","28","19","18","31","21","17","166","58","76"
